# generated large 2D fixture
# 61 x 41 grid and 3 timesteps
# Chunk Coord1 Coord2 Ncount c_rho
100 2501 12505
167 2.2 0.12 2 0.82335245
168 2.25 0.12 3 1.1352941
169 2.3 0.12 4 1.4477752
170 2.35 0.12 5 1.7608501
171 2.4 0.12 2 0.79456862
172 2.45 0.12 3 1.1089762
173 2.5 0.12 4 1.4241133
174 2.55 0.12 5 1.740015
175 2.6 0.12 2 0.7767108
176 2.65 0.12 3 1.0942246
177 2.7 0.12 4 1.4125744
178 2.75 0.12 5 1.7317721
179 2.8 0.12 2 0.77182353
180 2.85 0.12 3 1.0927282
181 2.9 0.12 4 1.4144797
182 2.95 0.12 5 1.7370653
183 3 0.12 2 0.78046637
184 0 0.18 4 1.53
185 0.05 0.18 5 1.8598659
186 0.1 0.18 2 0.90966066
187 0.15 0.18 3 1.2393134
188 0.2 0.18 4 1.5687545
189 0.25 0.18 5 1.8979157
190 0.3 0.18 2 0.94673102
191 0.35 0.18 3 1.2751367
192 0.4 0.18 4 1.603072
193 0.45 0.18 5 1.9304796
194 0.5 0.18 2 0.97730621
195 0.55 0.18 3 1.3035024
196 0.6 0.18 4 1.6290234
197 0.65 0.18 5 1.9538294
198 0.7 0.18 2 0.99788565
199 0.75 0.18 3 1.3211629
200 0.8 0.18 4 1.6436375
201 0.85 0.18 5 1.9652916
202 0.9 0.18 2 1.0061132
203 0.95 0.18 3 1.3260964
204 1 0.18 4 1.6452412
205 1.05 0.18 5 1.963554
206 1.1 0.18 2 1.0010469
207 1.15 0.18 3 1.3177379
208 1.2 0.18 4 1.6336509
209 1.25 0.18 5 1.9488156
210 1.3 0.18 2 0.98326669
211 1.35 0.18 3 1.2970444
212 1.4 0.18 4 1.6101935
213 1.45 0.18 5 1.9227636
214 1.5 0.18 2 0.95480836
215 1.55 0.18 3 1.2663851
216 1.6 0.18 4 1.5775547
217 1.65 0.18 5 1.888381
218 1.7 0.18 2 0.91893008
219 1.75 0.18 0 0.26927029
220 1.8 0.18 0 0.25947136
221 1.85 0.18 0 0.24960403
222 1.9 0.18 0 0.23973957
223 1.95 0.18 3 1.1899492
224 2 0.18 4 1.5003036
225 2.05 0.18 5 1.8108724
226 2.1 0.18 2 0.84172379
227 2.15 0.18 3 1.1529237
228 2.2 0.18 4 1.4645358
229 2.25 0.18 5 1.7766206
230 2.3 0.18 2 0.80923518
231 2.35 0.18 3 1.122433
232 2.4 0.18 4 1.436263
233 2.45 0.18 5 1.75077
234 2.5 0.18 2 0.78599339
235 2.55 0.18 3 1.1019678
236 2.6 0.18 4 1.4187223
237 2.65 0.18 5 1.7362803
238 2.7 0.18 2 0.77465939
239 2.75 0.18 3 1.0938713
240 2.8 0.18 4 1.4139218
241 2.85 0.18 5 1.7348104
242 2.9 0.18 2 0.77653081
243 2.95 0.18 3 1.0990705
244 3 0.18 4 1.4224112
245 0 0.24 2 0.89
246 0.05 0.24 3 1.219618
247 0.1 0.24 4 1.5491666
248 0.15 0.24 5 1.8785768
249 0.2 0.24 2 0.92778066
250 0.25 0.24 3 1.2567117
251 0.3 0.24 4 1.5853055
252 0.35 0.24 5 1.9134999
253 0.4 0.24 2 0.96123579
254 0.45 0.24 3 1.2884573
255 0.5 0.24 4 1.6151124
256 0.55 0.24 5 1.9411528
257 0.6 0.24 2 0.98653509
258 0.65 0.24 3 1.3112203
259 0.7 0.24 4 1.6351747
260 0.75 0.24 5 1.9583696
261 0.8 0.24 2 1.000782
262 0.85 0.24 3 1.3223945
263 0.9 0.24 4 1.6431955
264 0.95 0.24 5 1.9631791
265 1 0.24 2 1.0023454
266 1.05 0.24 3 1.3207006
267 1.1 0.24 4 1.6382564
268 1.15 0.24 5 1.9550306
269 1.2 0.24 2 0.99104635
270 1.25 0.24 3 1.3063325
271 1.3 0.24 4 1.6209231
272 1.35 0.24 5 1.9348571
273 1.4 0.24 2 0.96817841
274 1.45 0.24 3 1.2809352
275 1.5 0.24 0 0.31317984
276 1.55 0.24 0 0.30496825
277 1.6 0.24 0 0.29635976
278 1.65 0.24 0 0.28741652
279 1.7 0.24 0 0.27820311
280 1.75 0.24 0 0.26878606
281 1.8 0.24 0 0.25923336
282 1.85 0.24 0 0.24961398
283 1.9 0.24 0 0.2399974
284 1.95 0.24 0 0.23045304
285 2 0.24 0 0.22104982
286 2.05 0.24 0 0.21185564
287 2.1 0.24 0 0.20293689
288 2.15 0.24 0 0.19435796
289 2.2 0.24 2 0.82618081
290 2.25 0.24 3 1.1384645
291 2.3 0.24 4 1.4512647
292 2.35 0.24 5 1.7646334
293 2.4 0.24 2 0.79861849
294 2.45 0.24 3 1.1132634
295 2.5 0.24 4 1.4286069
296 2.55 0.24 5 1.7446825
297 2.6 0.24 2 0.78151851
298 2.65 0.24 3 1.0991379
299 2.7 0.24 4 1.4175577
300 2.75 0.24 5 1.7367894
301 2.8 0.24 2 0.77683865
302 2.85 0.24 3 1.097705
303 2.9 0.24 4 1.4193821
304 2.95 0.24 5 1.741858
305 3 0.24 2 0.78511471
306 0 0.3 4 1.53
307 0.05 0.3 5 1.8593023
308 0.1 0.3 2 0.90853742
309 0.15 0.3 3 1.2376387
310 0.2 0.3 4 1.5665404
311 0.25 0.3 5 1.8951783
312 0.3 0.3 2 0.94348991
313 0.35 0.3 3 1.2714153
314 0.4 0.3 4 1.5988973
315 0.45 0.3 5 1.9258817
316 0.5 0.3 2 0.9723183
317 0.55 0.3 3 1.2981605
318 0.6 0.3 4 1.623366
319 0.65 0.3 5 1.9478975
320 0.7 0.3 2 0.99172201
321 0.75 0.3 3 1.3148121
322 0.8 0.3 4 1.6371453
323 0.85 0.3 5 1.9587049
324 0.9 0.3 2 0.9994795
325 0.95 0.3 3 1.3194636
326 1 0.3 4 1.6386574
327 1.05 0.3 5 1.9570665
328 1.1 0.3 2 0.99470261
329 1.15 0.3 3 1.3115827
330 1.2 0.3 4 1.6277292
331 1.25 0.3 5 1.9431701
332 1.3 0.3 2 0.97793825
333 1.35 0.3 0 0.33207142
334 1.4 0.3 0 0.32561198
335 1.45 0.3 0 0.31860657
336 1.5 0.3 0 0.31110578
337 1.55 0.3 0 0.30316376
338 1.6 0.3 0 0.29483787
339 1.65 0.3 0 0.28618822
340 1.7 0.3 0 0.27727727
341 1.75 0.3 0 0.26816935
342 1.8 0.3 0 0.25893025
343 1.85 0.3 0 0.24962666
344 1.9 0.3 0 0.24032576
345 1.95 0.3 0 0.23109472
346 2 0.3 0 0.22200019
347 2.05 0.3 0 0.21310783
348 2.1 0.3 0 0.20448187
349 2.15 0.3 0 0.19618457
350 2.2 0.3 0 0.18827585
351 2.25 0.3 0 0.18081282
352 2.3 0.3 0 0.17384937
353 2.35 0.3 3 1.1274358
354 2.4 0.3 4 1.4416184
355 2.45 0.3 5 1.7564391
356 2.5 0.3 2 0.79193541
357 2.55 0.3 3 1.1081398
358 2.6 0.3 4 1.4250797
359 2.65 0.3 5 1.7427772
360 2.7 0.3 2 0.78124894
361 2.75 0.3 3 1.1005059
362 2.8 0.3 4 1.4205535
363 2.85 0.3 5 1.7413914
364 2.9 0.3 2 0.78301344
365 2.95 0.3 3 1.105408
366 3 0.3 4 1.4285579
367 0 0.36 2 0.89
368 0.05 0.36 3 1.218921
369 0.1 0.36 4 1.5477775
370 0.15 0.36 5 1.8765057
371 0.2 0.36 2 0.92504247
372 0.25 0.36 3 1.2533262
373 0.3 0.36 4 1.5812971
374 0.35 0.36 5 1.9088977
375 0.4 0.36 2 0.95607291
376 0.45 0.36 3 1.2827711
377 0.5 0.36 4 1.6089437
378 0.55 0.36 5 1.9345464
379 0.6 0.36 2 0.97953861
380 0.65 0.36 3 1.3038843
381 0.7 0.36 4 1.627552
382 0.75 0.36 5 1.9505154
383 0.8 0.36 2 0.99275298
384 0.85 0.36 3 1.3142486
385 0.9 0.36 4 1.6349915
386 0.95 0.36 5 1.9549763
387 1 0.36 2 0.99420309
388 1.05 0.36 3 1.3126775
389 1.1 0.36 4 1.6304104
390 1.15 0.36 5 1.9474184
391 1.2 0.36 2 0.98372292
392 1.25 0.36 0 0.3393507
393 1.3 0.36 0 0.33433332
394 1.35 0.36 0 0.32870699
395 1.4 0.36 0 0.32251235
396 1.45 0.36 0 0.31579412
397 1.5 0.36 0 0.30860081
398 1.55 0.36 0 0.30098437
399 1.6 0.36 2 0.93299979
400 1.65 0.36 3 1.2447047
401 1.7 0.36 4 1.5561591
402 1.75 0.36 5 1.8674245
403 1.8 0.36 2 0.89856416
404 1.85 0.36 3 1.209642
405 1.9 0.36 4 1.5207223
406 1.95 0.36 5 1.8318697
407 2 0.36 2 0.86314801
408 2.05 0.36 3 1.1746202
409 2.1 0.36 0 0.20634783
410 2.15 0.36 0 0.19839067
411 2.2 0.36 0 0.19080617
412 2.25 0.36 0 0.18364908
413 2.3 0.36 0 0.17697108
414 2.35 0.36 0 0.17082041
415 2.4 0.36 0 0.16524146
416 2.45 0.36 0 0.16027453
417 2.5 0.36 4 1.4359555
418 2.55 0.36 5 1.7523155
419 2.6 0.36 2 0.78938082
420 2.65 0.36 3 1.1071727
421 2.7 0.36 4 1.4257071
422 2.75 0.36 5 1.7449945
423 2.8 0.36 2 0.78504013
424 2.85 0.36 3 1.1058436
425 2.9 0.36 4 1.4273992
426 2.95 0.36 5 1.7496957
427 3 0.36 2 0.79271637
428 0 0.42 4 1.53
429 0.05 0.42 5 1.8584767
430 0.1 0.42 2 0.90689222
431 0.15 0.42 3 1.2351857
432 0.2 0.42 4 1.5632974
433 0.25 0.42 5 1.8911687
434 0.3 0.42 2 0.93874265
435 0.35 0.42 3 1.2659647
436 0.4 0.42 4 1.5927826
437 0.45 0.42 5 1.9191472
438 0.5 0.42 2 0.9650125
439 0.55 0.42 3 1.2903362
440 0.6 0.42 4 1.6150798
441 0.65 0.42 5 1.939209
442 0.7 0.42 2 0.98269412
443 0.75 0.42 3 1.3055099
444 0.8 0.42 4 1.6276361
445 0.85 0.42 5 1.9490572
446 0.9 0.42 2 0.98976313
447 0.95 0.42 3 1.3097487
448 1 0.42 4 1.629014
449 1.05 0.42 5 1.9475643
450 1.1 0.42 0 0.34541019
451 1.15 0.42 0 0.34256714
452 1.2 0.42 0 0.33905569
453 1.25 0.42 0 0.33490121
454 1.3 0.42 0 0.33013368
455 1.35 0.42 0 0.32478753
456 1.4 0.42 0 0.31890137
457 1.45 0.42 5 1.9125177
458 1.5 0.42 2 0.9456826
459 1.55 0.42 3 1.2584454
460 1.6 0.42 4 1.5708585
461 1.65 0.42 5 1.8829765
462 1.7 0.42 2 0.91485639
463 1.75 0.42 3 1.2265568
464 1.8 0.42 4 1.5381377
465 1.85 0.42 5 1.8496598
466 1.9 0.42 2 0.88118436
467 1.95 0.42 3 1.1927726
468 2 0.42 4 1.5044852
469 2.05 0.42 5 1.816382
470 2.1 0.42 2 0.84852163
471 2.15 0.42 3 1.1609607
472 2.2 0.42 4 1.4737539
473 2.25 0.42 5 1.7869532
474 2.3 0.42 0 0.18060779
475 2.35 0.42 0 0.1747634
476 2.4 0.42 0 0.16946228
477 2.45 0.42 0 0.16474268
478 2.5 0.42 0 0.16063871
479 2.55 0.42 0 0.15717997
480 2.6 0.42 4 1.4343915
481 2.65 0.42 5 1.7522933
482 2.7 0.42 2 0.79090066
483 2.75 0.42 3 1.1102236
484 2.8 0.42 4 1.4302669
485 2.85 0.42 5 1.7510304
486 2.9 0.42 2 0.79250856
487 2.95 0.42 3 1.1146906
488 3 0.42 4 1.4375609
489 0 0.48 0 0.25
490 0.05 0.48 0 0.25797269
491 0.1 0.48 0 0.26588781
492 0.15 0.48 5 1.8736882
493 0.2 0.48 2 0.92131756
494 0.25 0.48 3 1.2487208
495 0.3 0.48 4 1.5758444
496 0.35 0.48 5 1.902637
497 0.4 0.48 2 0.94904956
498 0.45 0.48 3 1.2750357
499 0.5 0.48 4 1.6005523
500 0.55 0.48 5 1.9255594
501 0.6 0.48 2 0.97002093
502 0.65 0.48 3 1.2939047
503 0.7 0.48 4 1.6171825
504 0.75 0.48 5 1.9398309
505 0.8 0.48 2 0.98183065
506 0.85 0.48 3 1.3031673
507 0.9 0.48 4 1.6238312
508 0.95 0.48 5 1.9438176
509 1 0.48 0 0.34312662
510 1.05 0.48 0 0.34176317
511 1.1 0.48 0 0.33973712
512 1.15 0.48 0 0.33706312
513 1.2 0.48 0 0.33376046
514 1.25 0.48 0 0.329853
515 1.3 0.48 4 1.6053689
516 1.35 0.48 5 1.9203407
517 1.4 0.48 2 0.95480451
518 1.45 0.48 3 1.2688004
519 1.5 0.48 4 1.5823717
520 1.55 0.48 5 1.8955649
521 1.6 0.48 2 0.92842905
522 1.65 0.48 3 1.2410157
523 1.7 0.48 4 1.5533784
524 1.75 0.48 5 1.8655723
525 1.8 0.48 2 0.89765382
526 1.85 0.48 3 1.20968
527 1.9 0.48 4 1.5217085
528 1.95 0.48 5 1.8337969
529 2 0.48 2 0.86600229
530 2.05 0.48 3 1.178381
531 2.1 0.48 4 1.4909879
532 2.15 0.48 5 1.8038766
533 2.2 0.48 2 0.83709829
534 2.25 0.48 3 1.150702
535 2.3 0.48 4 1.4647338
536 2.35 0.48 5 1.779237
537 2.4 0.48 0 0.17425103
538 2.45 0.48 0 0.16981207
539 2.5 0.48 0 0.16595211
540 2.55 0.48 0 0.16269903
541 2.6 0.48 0 0.16007633
542 2.65 0.48 0 0.15810293
543 2.7 0.48 0 0.15679308
544 2.75 0.48 5 1.7561563
545 2.8 0.48 2 0.79619704
546 2.85 0.48 3 1.1169151
547 2.9 0.48 4 1.4383054
548 2.95 0.48 5 1.7603577
549 3 0.48 2 0.80305732
550 0 0.54 0 0.25
551 0.05 0.54 0 0.25741244
552 0.1 0.54 0 0.26477136
553 0.15 0.54 0 0.27202362
554 0.2 0.54 0 0.27911686
555 0.25 0.54 0 0.28599985
556 0.3 0.54 2 0.93262291
557 0.35 0.54 3 1.2589382
558 0.4 0.54 4 1.5849001
559 0.45 0.54 5 1.9104656
560 0.5 0.54 2 0.95559452
561 0.55 0.54 3 1.2802498
562 0.6 0.54 4 1.6043978
563 0.65 0.54 5 1.9280086
564 0.7 0.54 2 0.97105618
565 0.75 0.54 3 1.2935184
566 0.8 0.54 0 0.33537766
567 0.85 0.54 0 0.33662039
568 0.9 0.54 0 0.33723766
569 0.95 0.54 0 0.33722502
570 1 0.54 0 0.33658256
571 1.05 0.54 0 0.33531492
572 1.1 0.54 0 0.33343124
573 1.15 0.54 0 0.33094514
574 1.2 0.54 4 1.6078746
575 1.25 0.54 5 1.9242417
576 1.3 0.54 2 0.96007273
577 1.35 0.54 3 1.2753978
578 1.4 0.54 4 1.5902507
579 1.45 0.54 5 1.9046685
580 1.5 0.54 2 0.93869154
581 1.55 0.54 3 1.252363
582 1.6 0.54 4 1.5657286
583 1.65 0.54 5 1.8788362
584 1.7 0.54 2 0.91173562
585 1.75 0.54 3 1.2244781
586 1.8 0.54 4 1.537116
587 1.85 0.54 5 1.8497025
588 1.9 0.54 2 0.88229118
589 1.95 0.54 3 1.1949355
590 2 0.54 4 1.5076886
591 2.05 0.54 5 1.8206028
592 2.1 0.54 2 0.85372932
593 2.15 0.54 3 1.1671177
594 2.2 0.54 4 1.4808157
595 2.25 0.54 5 1.7948689
596 2.3 0.54 2 0.82932012
597 2.35 0.54 3 1.1442095
598 2.4 0.54 4 1.459574
599 2.45 0.54 5 1.7754469
600 2.5 0.54 2 0.8118582
601 2.55 0.54 0 0.16883372
602 2.6 0.54 0 0.16639532
603 2.65 0.54 0 0.16456059
604 2.7 0.54 0 0.16334279
605 2.75 0.54 0 0.16275071
606 2.8 0.54 0 0.16278863
607 2.85 0.54 0 0.16345627
608 2.9 0.54 2 0.80474882
609 2.95 0.54 3 1.1266569
610 3 0.54 4 1.4491668
611 0 0.6 2 0.89
612 0.05 0.6 0 0.25679993
613 0.1 0.6 0 0.26355075
614 0.15 0.6 0 0.27020373
615 0.2 0.6 0 0.27671083
616 0.25 0.6 0 0.28302506
617 0.3 0.6 0 0.28910082
618 0.35 0.6 0 0.29489425
619 0.4 0.6 0 0.30036352
620 0.45 0.6 0 0.30546912
621 0.5 0.6 0 0.31017421
622 0.55 0.6 0 0.3144448
623 0.6 0.6 0 0.31825005
624 0.65 0.6 0 0.3215625
625 0.7 0.6 0 0.32435821
626 0.75 0.6 0 0.32661702
627 0.8 0.6 0 0.32832259
628 0.85 0.6 0 0.32946263
629 0.9 0.6 0 0.3300289
630 0.95 0.6 0 0.3300173
631 1 0.6 0 0.32942793
632 1.05 0.6 3 1.288265
633 1.1 0.6 4 1.606537
634 1.15 0.6 5 1.9242564
635 1.2 0.6 2 0.96143951
636 1.25 0.6 3 1.2781068
637 1.3 0.6 4 1.5942824
638 1.35 0.6 5 1.9099937
639 1.4 0.6 2 0.94527193
640 1.45 0.6 3 1.260151
641 1.5 0.6 4 1.574668
642 1.55 0.6 5 1.8888624
643 1.6 0.6 2 0.92277623
644 1.65 0.6 3 1.2364534
645 1.7 0.6 4 1.5499395
646 1.75 0.6 5 1.8632817
647 1.8 0.6 2 0.89652796
648 1.85 0.6 3 1.2097271
649 1.9 0.6 4 1.5229282
650 1.95 0.6 5 1.8361803
651 2 0.6 2 0.8695323
652 2.05 0.6 3 1.183032
653 2.1 0.6 4 1.4967265
654 2.15 0.6 5 1.8106612
655 2.2 0.6 2 0.84488
656 2.25 0.6 3 1.1594246
657 2.3 0.6 4 1.4743343
658 2.35 0.6 5 1.789646
659 2.4 0.6 2 0.82539352
660 2.45 0.6 3 1.1416075
661 2.5 0.6 4 1.4583153
662 2.55 0.6 5 1.7755408
663 2.6 0.6 2 0.81330388
664 2.65 0.6 3 1.1316208
665 2.7 0.6 0 0.17050359
666 2.75 0.6 0 0.16996044
667 2.8 0.6 0 0.16999522
668 2.85 0.6 0 0.1706077
669 2.9 0.6 0 0.17179343
670 2.95 0.6 0 0.17354387
671 3 0.6 0 0.17584637
672 0 0.66 4 1.53
673 0.05 0.66 5 1.8561395
674 0.1 0.66 2 0.90223458
675 0.15 0.66 3 1.2282414
676 0.2 0.66 0 0.27411644
677 0.25 0.66 0 0.27981737
678 0.3 0.66 0 0.285303
679 0.35 0.66 0 0.29053372
680 0.4 0.66 0 0.29547176
681 0.45 0.66 0 0.30008147
682 0.5 0.66 0 0.30432956
683 0.55 0.66 0 0.30818535
684 0.6 0.66 0 0.311621
685 0.65 0.66 0 0.31461171
686 0.7 0.66 0 0.31713588
687 0.75 0.66 0 0.31917529
688 0.8 0.66 0 0.32071521
689 0.85 0.66 0 0.32174451
690 0.9 0.66 0 0.32225578
691 0.95 0.66 0 0.32224531
692 1 0.66 0 0.32171318
693 1.05 0.66 0 0.32066324
694 1.1 0.66 0 0.31910306
695 1.15 0.66 3 1.2770439
696 1.2 0.66 4 1.5945007
697 1.25 0.66 5 1.9114917
698 1.3 0.66 2 0.94803869
699 1.35 0.66 3 1.2641666
700 1.4 0.66 4 1.5799034
701 1.45 0.66 5 1.8952799
702 1.5 0.66 2 0.93032943
703 1.55 0.66 3 1.2450877
704 1.6 0.66 4 1.5595927
705 1.65 0.66 5 1.873884
706 1.7 0.66 2 0.90800282
707 1.75 0.66 3 1.2219917
708 1.8 0.66 4 1.5358939
709 1.85 0.66 5 1.8497536
710 1.9 0.66 2 0.88361506
711 1.95 0.66 3 1.1975226
712 2 0.66 4 1.5115203
713 2.05 0.66 5 1.8256514
714 2.1 0.66 2 0.85995832
715 2.15 0.66 3 1.1744822
716 2.2 0.66 4 1.4892625
717 2.25 0.66 5 1.8043369
718 2.3 0.66 2 0.83974107
719 2.35 0.66 3 1.1555081
720 2.4 0.66 4 1.4716687
721 2.45 0.66 5 1.7882504
722 2.5 0.66 2 0.82527799
723 2.55 0.66 3 1.1427729
724 2.6 0.66 4 1.4607533
725 2.65 0.66 5 1.7792336
726 2.7 0.66 2 0.81822499
727 2.75 0.66 3 1.1377346
728 2.8 0.66 4 1.457766
729 2.85 0.66 0 0.17831898
730 2.9 0.66 0 0.17938955
731 2.95 0.66 0 0.18096997
732 3 0.66 0 0.18304883
733 0 0.72 2 0.89
734 0.05 0.72 3 1.2154357
735 0.1 0.72 4 1.5408321
736 0.15 0.72 5 1.8661504
737 0.2 0.72 2 0.91135198
738 0.25 0.72 3 1.2363994
739 0.3 0.72 4 1.5612562
740 0.35 0.72 5 1.8858874
741 0.4 0.72 2 0.93025935
742 0.45 0.72 0 0.29434065
743 0.5 0.72 0 0.29810178
744 0.55 0.72 0 0.30151558
745 0.6 0.72 0 0.30455741
746 0.65 0.72 0 0.30720529
747 0.7 0.72 0 0.30944012
748 0.75 0.72 0 0.31124575
749 0.8 0.72 0 0.31260915
750 0.85 0.72 0 0.31352047
751 0.9 0.72 0 0.31397312
752 0.95 0.72 0 0.31396386
753 1 0.72 0 0.31349273
754 1.05 0.72 0 0.31256314
755 1.1 0.72 0 0.3111818
756 1.15 0.72 0 0.3093587
757 1.2 0.72 2 0.94710698
758 1.25 0.72 3 1.2644429
759 1.3 0.72 4 1.5813857
760 1.35 0.72 5 1.8979575
761 1.4 0.72 2 0.93418302
762 1.45 0.72 3 1.2500895
763 1.5 0.72 4 1.5657065
764 1.55 0.72 5 1.8810657
765 1.6 0.72 2 0.91620051
766 1.65 0.72 3 1.2311462
767 1.7 0.72 4 1.5459392
768 1.75 0.72 5 1.8606171
769 1.8 0.72 2 0.89521829
770 1.85 0.72 3 1.2097818
771 1.9 0.72 4 1.524347
772 1.95 0.72 5 1.8389529
773 2 0.72 2 0.87363862
774 2.05 0.72 3 1.1884425
775 2.1 0.72 4 1.503402
776 2.15 0.72 5 1.8185536
777 2.2 0.72 2 0.85393218
778 2.25 0.72 3 1.1695712
779 2.3 0.72 4 1.4855022
780 2.35 0.72 5 1.8017545
781 2.4 0.72 2 0.83835517
782 2.45 0.72 3 1.1553287
783 2.5 0.72 4 1.4726971
784 2.55 0.72 5 1.7904791
785 2.6 0.72 2 0.82869101
786 2.65 0.72 3 1.1473456
787 2.7 0.72 4 1.4664525
