# generated large cluster fixture
# 1200 clusters and 3 timesteps
# Chunk c_x c_y c_z vx vy vz Ncount
100 1200 315900
179 8.3770078 2.0338213 0.26128367 -0.91645203 0.44915012 -0.12825389 99
180 3.7934157 5.3475298 2.4574361 -0.86799325 0.47609446 -0.13741234 475
181 11.209824 0.66123831 1.6535885 -0.8187004 0.50269174 -0.14652118 353
182 6.6262314 3.9749468 0.84974093 -0.76862083 0.52892259 -0.15557713 233
183 2.0426393 7.2886553 0.045893356 -0.71780269 0.55476788 -0.16457692 115
184 9.4590472 2.6023638 2.2420458 -0.66629479 0.58020876 -0.1735173 499
185 4.875455 5.9160723 1.4381982 -0.61414663 0.6052267 -0.18239504 385
186 0.29186289 1.2297808 0.63435062 -0.56140832 0.62980345 -0.19120694 273
187 7.7082708 4.5434893 2.830503 -0.50813055 0.6539211 -0.19994982 163
188 3.1246786 7.8571978 2.0266555 -0.45436449 0.67756208 -0.20862052 55
189 10.541086 3.1709063 1.2228079 -0.40016183 0.70070914 -0.2172159 449
190 5.9574943 6.4846148 0.41896031 -0.34557465 0.72334542 -0.22573288 345
191 1.3739022 1.7983233 2.6151127 -0.29065539 0.74545441 -0.23416836 243
192 8.7903101 5.1120318 1.8112652 -0.23545684 0.76701999 -0.24251932 143
193 4.2067179 0.4257403 1.0074176 -0.18003203 0.78802646 -0.25078272 45
194 11.623126 3.7394488 0.20357001 -0.12443423 0.80845848 -0.2589556 449
195 7.0395337 7.0531573 2.3997224 -0.068716851 0.82830118 -0.267035 355
196 2.4559415 2.3668658 1.5958749 -0.012933442 0.84754008 -0.275018 263
197 9.8723494 5.6805743 0.79202727 0.042862395 0.86616116 -0.28290172 173
198 5.2887573 0.99428279 2.9881797 0.098617045 0.88415085 -0.29068332 85
199 0.70516514 4.3079913 2.1843321 0.15427693 0.90149603 -0.29835999 499
200 8.121573 7.6216998 1.3804845 0.20978857 0.91818406 -0.30592895 415
201 3.5379809 2.9354083 0.57663696 0.26509862 0.93420278 -0.31338747 333
202 10.954389 6.2491168 2.7727894 0.32015392 0.9495405 -0.32073286 253
203 6.3707966 1.5628253 1.9689418 0.37490159 0.96418605 -0.32796247 175
204 1.7872045 4.8765338 1.1650942 0.429289 0.97812875 -0.33507369 99
205 9.2036123 0.19024229 0.36124666 0.4832639 0.99135844 -0.34206396 25
206 4.6200202 3.5039508 2.5573991 0.53677442 1.0038655 -0.34893074 453
207 0.036428055 6.8176593 1.7535515 0.58976914 1.0156407 -0.35567156 383
208 7.4528359 2.1313678 0.94970392 0.64219714 1.0266756 -0.36228399 315
209 2.8692438 5.4450763 0.14585635 0.69400804 1.0369621 -0.36876564 249
210 10.285652 0.75878478 2.3420088 0.74515204 1.0464927 -0.37511416 185
211 5.7020595 4.0724933 1.5381612 0.79558002 1.0552605 -0.38132728 123
212 1.1184674 7.3862018 0.73431361 0.8452435 1.063259 -0.38740274 63
213 8.5348752 2.6999103 2.930466 0.89409477 1.0704825 -0.39333835 5
214 3.9512831 6.0136188 2.1266185 0.94208688 1.0769256 -0.39913197 449
215 11.367691 1.3273273 1.3227709 0.98917372 1.0825837 -0.40478151 395
216 6.7840988 4.6410358 0.51892331 1.03531 1.0874526 -0.41028493 343
217 2.2005067 7.9547443 2.7150757 1.0804515 1.0915288 -0.41564024 293
218 9.6169146 3.2684528 1.9112282 1.1245547 1.0948093 -0.4208455 245
219 5.0333224 6.5821613 1.1073806 1.1675774 1.0972918 -0.42589885 199
220 0.4497303 1.8958698 0.303533 1.209478 1.0989744 -0.43079845 155
221 7.8661382 5.2095783 2.4996854 1.2502165 1.0998559 -0.43554254 113
222 3.282546 0.52328677 1.6958378 1.2897536 1.0999357 -0.4401294 73
223 10.698954 3.8369953 0.89199026 1.3280513 1.0992136 -0.44455738 35
224 6.1153618 7.1507038 0.088142687 1.3650729 1.0976903 -0.44882488 499
225 1.5317696 2.4644123 2.2842951 1.4007828 1.0953668 -0.45293036 465
226 8.9481775 5.7781208 1.4804475 1.4351466 1.0922448 -0.45687233 433
227 4.3645854 1.0918293 0.67659996 1.4681313 1.0883266 -0.46064938 403
228 11.780993 4.4055378 2.8727524 1.4997053 1.0836151 -0.46426014 375
229 7.1974011 7.7192463 2.0689048 1.5298382 1.0781137 -0.46770331 349
230 2.613809 3.0329548 1.2650572 1.558501 1.0718264 -0.47097764 325
231 10.030217 6.3466633 0.46120965 1.5856663 1.0647578 -0.47408195 303
232 5.4466247 1.6603718 2.6573621 1.6113078 1.056913 -0.47701513 283
233 0.86303255 4.9740803 1.8535145 1.635401 1.0482977 -0.47977611 265
234 8.2794404 0.28778876 1.0496669 1.6579227 1.0389183 -0.48236389 249
235 3.6958483 3.6014973 0.24581934 1.6788512 1.0287816 -0.48477755 235
236 11.112256 6.9152058 2.4419718 1.6981665 1.017895 -0.4870162 223
237 6.528664 2.2289143 1.6381242 1.71585 1.0062663 -0.48907905 213
238 1.9450719 5.5426228 0.8342766 1.7318847 0.99390411 -0.49096535 205
239 9.3614797 0.85633125 0.030429028 1.7462552 0.98081742 -0.49267441 199
240 4.7778876 4.1700398 2.2265815 1.7589477 0.96701575 -0.49420563 195
241 0.19429547 7.4837482 1.4227339 1.7699499 0.95250917 -0.49555844 193
242 7.6107033 2.7974567 0.6188863 1.7792514 0.93730825 -0.49673236 193
243 3.0271112 6.1111652 2.8150387 1.7868432 0.92142408 -0.49772696 195
244 10.443519 1.4248737 2.0111911 1.7927179 0.90486823 -0.49854189 199
245 5.8599269 4.7385822 1.2073436 1.79687 0.88765277 -0.49917685 205
246 1.2763348 0.052290744 0.40349599 1.7992954 0.86979025 -0.49963162 213
247 8.6927427 3.3659992 2.5996484 1.7999918 0.85129369 -0.49990602 223
248 4.1091505 6.6797077 1.7958008 1.7989586 0.83217658 -0.49999996 235
249 11.525558 1.9934162 0.99195325 1.7961967 0.81245285 -0.49991341 249
250 6.9419663 5.3071247 0.18810568 1.7917088 0.79213687 -0.49964639 265
251 2.3583741 0.62083324 2.3842581 1.7854992 0.77124346 -0.49919901 283
252 9.774782 3.9345417 1.5804105 1.7775739 0.74978785 -0.49857142 303
253 5.1911898 7.2482502 0.77656295 1.7679405 0.72778568 -0.49776386 325
254 0.60759771 2.5619587 2.9727154 1.7566082 0.70525299 -0.4967766 349
255 8.0240056 5.8756672 2.1688678 1.7435879 0.68220619 -0.49561002 375
256 3.4404134 1.1893757 1.3650202 1.7288922 0.6586621 -0.49426452 403
257 10.856821 4.5030842 0.56117264 1.7125352 0.63463787 -0.4927406 433
258 6.2732292 7.8167927 2.7573251 1.6945326 0.61015102 -0.49103881 465
259 1.689637 3.1305012 1.9534775 1.6749016 0.5852194 -0.48915976 499
260 9.1060449 6.4442097 1.1496299 1.6536612 0.55986118 -0.48710412 35
261 4.5224528 1.7579182 0.34578233 1.6308317 0.53409484 -0.48487265 73
262 11.938861 5.0716267 2.5419348 1.6064352 0.50793917 -0.48246614 113
263 7.3552685 0.38533523 1.7380872 1.580495 0.48141324 -0.47988547 155
264 2.7716764 3.6990437 0.9342396 1.553036 0.45453638 -0.47713157 199
265 10.188084 7.0127522 0.13039202 1.5240847 0.42732818 -0.47420542 245
266 5.6044921 2.3264607 2.3265444 1.4936689 0.39980848 -0.47110809 293
267 1.0209 5.6401692 1.5226969 1.4618178 0.37199733 -0.4678407 343
268 8.4373078 0.95387772 0.71884929 1.4285619 0.34391502 -0.46440442 395
269 3.8537157 4.2675862 2.9150017 1.3939334 0.31558201 -0.4608005 449
270 11.270124 7.5812947 2.1111541 1.3579653 0.28701895 -0.45703023 5
271 6.6865314 2.8950032 1.3073066 1.3206924 0.25824666 -0.45309498 63
272 2.1029393 6.2087117 0.50345898 1.2821504 0.22928613 -0.44899617 123
273 9.5193471 1.5224202 2.6996114 1.2423764 0.20015846 -0.44473528 185
274 4.935755 4.8361287 1.8957638 1.2014085 0.17088488 -0.44031384 249
275 0.35216287 0.14983721 1.0919162 1.1592861 0.14148673 -0.43573345 315
276 7.7685707 3.4635457 0.28806867 1.1160498 0.11198545 -0.43099576 383
277 3.1849786 6.7772542 2.4842211 1.071741 0.082402532 -0.4261025 453
278 10.601386 2.0909627 1.6803735 1.0264024 0.052759548 -0.42105541 25
279 6.0177943 5.4046712 0.87652594 0.98007747 0.023078104 -0.41585633 99
280 1.4342022 0.71837971 0.072678359 0.93281077 -0.0066201627 -0.41050712 175
281 8.8506101 4.0320882 2.2688308 0.88464771 -0.036313604 -0.40500973 253
282 4.2670179 7.3457967 1.4649832 0.83563457 -0.065980573 -0.39936614 333
283 11.683426 2.6595052 0.66113563 0.78581845 -0.095599446 -0.39357837 415
284 7.0998337 5.9732137 2.857288 0.73524722 -0.12514863 -0.38764854 499
285 2.5162415 1.2869222 2.0534405 0.68396947 -0.15460659 -0.38157876 85
286 9.9326494 4.6006307 1.2495929 0.63203448 -0.18395184 -0.37537124 173
287 5.3490573 7.9143392 0.44574532 0.57949216 -0.21316301 -0.36902821 263
288 0.76546512 3.2280477 2.6418977 0.52639298 -0.24221879 -0.36255197 355
289 8.181873 6.5417562 1.8380502 0.47278799 -0.271098 -0.35594485 449
290 3.5982808 1.8554647 1.0342026 0.41872868 -0.29977959 -0.34920923 45
291 11.014689 5.1691732 0.23035501 0.364267 -0.32824265 -0.34234756 143
292 6.4310966 0.4828817 2.4265074 0.3094553 -0.35646644 -0.33536231 243
293 1.8475044 3.7965902 1.6226599 0.25434623 -0.38443039 -0.32825599 345
294 9.2639123 7.1102987 0.81881228 0.19899275 -0.4121141 -0.32103117 449
295 4.6803202 2.4240072 0.014964699 0.14344805 -0.43949739 -0.31369047 55
296 0.09672804 5.7377157 2.2111171 0.087765516 -0.46656032 -0.30623652 163
297 7.5131359 1.0514242 1.4072695 0.031998644 -0.49328314 -0.29867203 273
298 2.9295438 4.3651327 0.60342197 -0.023798977 -0.51964638 -0.29099972 385
299 10.345952 7.6788412 2.7995744 -0.079573729 -0.54563082 -0.28322237 499
300 5.7623595 2.9925497 1.9957268 -0.13527202 -0.57121752 -0.27534277 115
301 1.1787674 6.3062582 1.1918792 -0.19084032 -0.59638783 -0.26736378 233
302 8.5951752 1.6199667 0.38803166 -0.24622524 -0.62112339 -0.25928827 353
303 4.0115831 4.9336752 2.5841841 -0.30137355 -0.64540619 -0.25111916 475
304 11.427991 0.24738368 1.7803365 -0.35623227 -0.66921851 -0.2428594 99
305 6.8443988 3.5610922 0.97648893 -0.41074868 -0.69254301 -0.23451198 225
306 2.2608067 6.8748007 0.17264135 -0.46487039 -0.71536267 -0.22607989 353
307 9.6772146 2.1885092 2.3687938 -0.51854539 -0.73766086 -0.21756619 483
308 5.0936224 5.5022177 1.5649462 -0.57172211 -0.75942133 -0.20897396 115
309 0.51003029 0.81592618 0.76109862 -0.62434945 -0.78062821 -0.20030628 249
310 7.9264382 4.1296347 2.957251 -0.67637684 -0.80126605 -0.1915663 385
311 3.342846 7.4433432 2.1534035 -0.72775429 -0.82131981 -0.18275716 23
312 10.759254 2.7570517 1.3495559 -0.77843241 -0.84077486 -0.17388206 163
313 6.1756617 6.0707602 0.54570831 -0.82836253 -0.85961702 -0.16494418 305
314 1.5920696 1.3844687 2.7418607 -0.87749665 -0.87783256 -0.15594676 449
315 9.0084775 4.6981772 1.9380132 -0.92578756 -0.89540819 -0.14689304 95
316 4.4248853 0.011885671 1.1341656 -0.97318887 -0.91233112 -0.1377863 243
317 11.841293 3.3255942 0.330318 -1.019655 -0.92858899 -0.12862981 393
318 7.2577011 6.6393027 2.5264704 -1.0651413 -0.94416997 -0.1194269 45
319 2.6741089 1.9530112 1.7226228 -1.1096042 -0.95906269 -0.11018087 199
320 10.090517 5.2667197 0.91877527 -1.1530007 -0.97325629 -0.10089507 355
321 5.5069247 0.58042817 0.11492769 -1.1952894 -0.98674043 -0.091572841 13
322 0.92333253 3.8941367 2.3110801 -1.2364294 -0.99950528 -0.082217559 173
323 8.3397404 7.2078452 1.5072325 -1.2763813 -1.0115415 -0.072832598 335
324 3.7561483 2.5215537 0.70338496 -1.3151068 -1.0228404 -0.063421345 499
325 11.172556 5.8352622 2.8995374 -1.3525685 -1.0333937 -0.053987198 165
326 6.588964 1.1489707 2.0956898 -1.3887305 -1.0431937 -0.044533562 333
327 2.0053719 4.4626792 1.2918422 -1.423558 -1.0522332 -0.03506385 3
328 9.4217797 7.7763877 0.48799465 -1.4570176 -1.0605057 -0.02558148 175
329 4.8381876 3.0900962 2.6841471 -1.4890771 -1.0680052 -0.016089875 349
330 0.25459545 6.4038047 1.8802995 -1.5197058 -1.0747261 -0.0065924626 25
331 7.6710033 1.7175132 1.0764519 -1.5488741 -1.0806636 0.00290733 203
332 3.0874112 5.0312217 0.27260434 -1.576554 -1.0858133 0.012406073 383
333 10.503819 0.34493015 2.4687568 -1.6027191 -1.0901716 0.021900338 65
334 5.9202269 3.6586387 1.6649092 -1.627344 -1.0937351 0.031386697 249
335 1.3366348 6.9723472 0.86106161 -1.6504052 -1.0965014 0.040861725 435
336 8.7530426 2.2860557 0.057214031 -1.6718804 -1.0984683 0.050322003 123
337 4.1694505 5.5997641 2.2533665 -1.6917491 -1.0996345 0.059764115 313
338 11.585858 0.91347265 1.4495189 -1.7099922 -1.0999992 0.069184653 5
